miles
41972194
42054796
50443045
47112397
49118248
52880510
55664750
57723208
47035464
49263120
43937074
48539606
45850623
42838949
53620994
49282817
51191842
54707221
57995025
59715433
49418190
51058879
47056048
49654209
46514139
43769273
53361926
51968480
53515798
56460422
59939170
59927214
48751280
52578217
48734375
50208641
47988560
45241211
56555731
53920855
54674958
59213000
63572248
63003663
53131972
56653901
53215500
51746821
49045412
49306303
60443541
58286680
60533783
64903295
67346377
66256804
55900504
58373996
55590325
54822970
52634354
49532578
61575055
59151645
59662416
64353323
67965298
68377080
38601868
43964788
44915764
47836501
46224031
44615129
56897729
52542164
55116060
59745343
62664511
62944816
49096035
54019748
50106814
56656594
51197175
47040806
56766580
51857453
54335598
60272900
65962215
64989766
52121480
56724551
54128776
58739845
53979786
53179693
64035864
62340117
62530704
68866398
73335888
70961522
57881042
63021142
59453943
62680310
59629608
55795165
70595861
65145552
68268899
72952959
77432998
73778918
62046798
63640895
61518984
64289340
61035027
56729212
70799794
68120559
69352606
74099239
77798621
74227051
62345744
66082164
63548733
65980782
63016013
57793832
72700241
69836156
71933109
76926452
80988340
79439827
65913314
69445349
66250428
67782533
64667106
61504426
74575531
68906882
72725750
76162105
79707545
77300569
61198749
65018204
58512623
63503416
58373786
53506580
66027341
65166300
65868254
71350227
77136799
74614773
61435354
64274739
59011015
63231672
59651061
53240066
68307090
64953250
68850904
74474550
79304441
76741308
65341294
69071627
63334293
65797942
61630362
55391206
70158268
67683558
71711448
76057910
81423215
77247933
66345279
68177916
63491903
66595168
61940180
58243763
71696039
68669228
71887523
76760759
80499353
77945138
66007760
67677764
64039209
66702988
